,plot,subplot,census,f_type,avghgt,tbiomc,simpdv,avghgtnorm,tbiomcnorm
143,BSouth,12,4,Logged,13.555555555555555,688.1659937579684,0.8888888888888888,0.2920844890121612,0.019005215395288648
144,BSouth,13,1,Logged,8.466666666666667,197.86699888011674,1.0,0.09665030936633238,0.005185346545033382
145,BSouth,13,2,Logged,8.700000000000001,210.10528517924627,1.0,0.10561126520162152,0.005530302405381376
146,BSouth,13,3,Logged,10.366666666666665,216.1697565576781,1.0,0.16961809259654353,0.0057012393234081695
147,BSouth,13,4,Logged,10.533333333333333,233.00638216873554,1.0,0.1760187753360358,0.0061758068021435285
148,BSouth,14,1,Logged,11.18,874.4347332428083,0.9777777777777777,0.20085342436526557,0.024255500583460748
149,BSouth,14,2,Logged,11.745454545454544,1053.9076072565526,0.9636363636363636,0.22256919525961547,0.02931423333013148
150,BSouth,14,3,Logged,10.820000000000002,1299.1725430859467,0.9238095238095239,0.1870279496479625,0.036227421572691376
151,BSouth,14,4,Logged,11.433333333333332,1254.4111387263044,0.9242424242424242,0.21058246212929368,0.03496574911513798
152,BSouth,15,1,Logged,11.364,1232.3554615497978,0.95,0.207919778109665,0.03434407424089349
153,BSouth,15,2,Logged,12.108000000000002,1526.9037827748834,0.9466666666666667,0.2364924258587583,0.04264639427809376
154,BSouth,15,3,Logged,11.823529411764705,918.5885800856626,0.9558823529411765,0.22556758995469312,0.025500048051387992
155,BSouth,15,4,Logged,12.274999999999999,944.9903104291459,0.9666666666666667,0.24290590996372935,0.026244223451661133
156,BSouth,16,1,Logged,14.445454545454549,2381.3492110488655,0.9437229437229437,0.3262602556393895,0.06673031833628694
157,BSouth,16,2,Logged,15.554166666666667,3092.091761468264,0.9347826086956522,0.3688393428632387,0.08676374474691843
158,BSouth,16,3,Logged,15.4625,3305.7396759251415,0.9173387096774194,0.3653189673565179,0.09278575619048703
159,BSouth,16,4,Logged,15.91875,3645.8567372809966,0.9173387096774194,0.38284083635587784,0.10237250474754485
160,BSouth,17,1,Logged,7.900000000000001,93.42770481343999,1.0,0.07488798805205892,0.0022415564049489732
161,BSouth,17,2,Logged,8.524999999999999,128.39437621057394,1.0,0.09889054832515459,0.0032271484985218995
162,BSouth,17,3,Logged,8.350000000000001,189.9354692801814,0.8333333333333334,0.09216983144868789,0.004961783576318074
163,BSouth,17,4,Logged,8.325,190.27071668020022,0.8333333333333334,0.09120972903776398,0.004971233065607367
164,BSouth,18,1,Logged,10.7,524.62313846061,0.8666666666666667,0.18241945807552798,0.014395495948140205
165,BSouth,18,2,Logged,11.31111111111111,547.1902586373982,0.8888888888888888,0.20588862812033273,0.015031586669168215
