Forest type,Plot,Core,Data type,Date,Date of previous collection,Days between collections,"CoarseRoots, Mg C ha-1 year-1","FineRoots, Mg C ha-1 year-1",Remarsk
Old-growth,Belian,10,NPP,29/01/2012,22/11/2011,68,0.137050089884688,1.8566549924474,
Old-growth,Belian,11,NPP,29/01/2012,22/11/2011,68,0,0.187435555858258,
Old-growth,Belian,12,NPP,29/01/2012,22/11/2011,68,0,0.761054659108089,
Old-growth,Belian,13,NPP,29/01/2012,22/11/2011,68,0,1.03821797963426,
Old-growth,Belian,14,NPP,29/01/2012,22/11/2011,68,0,0.785759582009305,
Old-growth,Belian,15,NPP,29/01/2012,22/11/2011,68,0.022104853207208,1.07119470493005,
Old-growth,Belian,16,NPP,29/01/2012,22/11/2011,68,0.017683882565766,0.266803990934618,
Logged,LF,1,NPP,12/02/2012,04/11/2011,100,0.008841941282883,1.15546330023703,
Logged,LF,2,NPP,12/02/2012,04/11/2011,100,0.044209706414415,1.0709391131128,
Logged,LF,3,NPP,12/02/2012,04/11/2011,100,0.013262911924325,1.07738610820287,
Logged,LF,4,NPP,12/02/2012,04/11/2011,100,0.119366207318922,0.914532608449648,
Logged,LF,5,NPP,12/02/2012,04/11/2011,100,0,2.17653202974205,
Logged,LF,6,NPP,12/02/2012,04/11/2011,100,0.083998442187389,1.25441106912325,
Logged,LF,7,NPP,12/02/2012,04/11/2011,100,0.296205032976583,3.60071800951607,
Logged,LF,8,NPP,12/02/2012,04/11/2011,100,0.008841941282883,0.907959553616117,
Logged,LF,9,NPP,12/02/2012,04/11/2011,100,0.106103295394597,3.62641980017815,
Logged,LF,10,NPP,12/02/2012,04/11/2011,100,0.198943678864869,2.21777217971871,
Logged,LF,11,NPP,12/02/2012,04/11/2011,100,0.212206590789194,2.45214310410249,
Logged,LF,12,NPP,12/02/2012,04/11/2011,100,0.243153385279285,3.79233248143317,
Logged,LF,13,NPP,12/02/2012,04/11/2011,100,0.022104853207208,1.13382630830899,
Logged,LF,14,NPP,12/02/2012,04/11/2011,100,0.05747261833874,2.34905763975357,
Logged,LF,15,NPP,12/02/2012,04/11/2011,100,0,0.71455331401502,
Logged,LF,16,NPP,12/02/2012,04/11/2011,100,0.022104853207208,1.11112733229782,
Logged,B South,1,NPP,17/02/2012,19/09/2011,151,0,1.11553097241251,
Logged,B South,2,NPP,17/02/2012,19/09/2011,151,0.061893588980182,1.98758491512075,
Logged,B South,3,NPP,17/02/2012,19/09/2011,151,0.106103295394597,3.13829225951806,
Logged,B South,4,NPP,17/02/2012,19/09/2011,151,0,0.881502797373097,
Logged,B South,5,NPP,17/02/2012,19/09/2011,151,0.17241785501622,5.37381071487752,
Logged,B South,6,NPP,17/02/2012,19/09/2011,151,0.070735530263065,0.282290621110135,
Logged,B South,7,NPP,17/02/2012,19/09/2011,151,0,0.669461822728256,
Logged,B South,8,NPP,17/02/2012,19/09/2011,151,0.004420970641442,0.527139237482511,
Logged,B South,9,NPP,17/02/2012,19/09/2011,151,0.070735530263065,2.48236821535049,
Logged,B South,10,NPP,17/02/2012,19/09/2011,151,0,0.54786023912738,
Logged,B South,11,NPP,17/02/2012,19/09/2011,151,0,0.902038861468522,
Logged,B South,12,NPP,17/02/2012,19/09/2011,151,0,0.535129863231402,
Logged,B South,13,NPP,17/02/2012,19/09/2011,151,0.030946794490091,0.667374041835276,
Logged,B South,14,NPP,17/02/2012,19/09/2011,151,0,1.19142378249786,
Logged,B South,15,NPP,17/02/2012,19/09/2011,151,0,2.29313374109477,
