Forest type,Plot,Collection date,Date of the previous collection,Number of days between collections,Trap,"Trap size, m2",Leaves,Twigs,Fruit,Flower,Seed,Miscellaneous,Remarks,"Leaves, Mg C ha-1 year-1","Twigs, Mg C ha-1 year-1","Fruit, Mg C ha-1 year-1","Flower, Mg C ha-1 year-1","Seed, Mg C ha-1 year-1","Miscellaneous, Mg C ha-1 year-1","Reproductive, total, Mg C ha-1 year-1","Total, Mg C ha-1 year-1"
Logged,Tower,14/12/2011,27/11/2011,17,2,0.25,11.44,0.23,0,0.44,0,0,,4.91247058823529,0.098764705882353,0,0.188941176470588,0,0,0.188941176470588,5.20017647058824
Logged,Tower,14/12/2011,27/11/2011,17,3,0.25,15.4,0,0,0,0,0.15,,6.61294117647059,0,0,0,0,0.064411764705883,0,6.67735294117647
Logged,Tower,14/12/2011,27/11/2011,17,4,0.25,9.15,0,0,0,0,0.31,,3.92911764705882,0,0,0,0,0.133117647058824,0,4.06223529411765
Logged,Tower,14/12/2011,27/11/2011,17,5,0.25,11.38,0.34,0,0,0,0.74,,4.88670588235294,0.146,0,0,0,0.317764705882353,0,5.35047058823529
Logged,Tower,14/12/2011,27/11/2011,17,6,0.25,8.01,0,0,0,0,0.41,,3.43958823529412,0,0,0,0,0.176058823529412,0,3.61564705882353
Logged,Tower,14/12/2011,27/11/2011,17,7,0.25,11.1,0.48,0,0.19,0,0,,4.76647058823529,0.206117647058824,0,0.081588235294118,0,0,0.081588235294118,5.05417647058824
Logged,Tower,14/12/2011,27/11/2011,17,8,0.25,16.21,1.58,0,0.17,0,0.949999999999999,,6.96076470588235,0.678470588235294,0,0.073,0,0.407941176470588,0.073,8.12017647058824
Logged,Tower,14/12/2011,27/11/2011,17,9,0.25,12.85,0,0,0,0,0,,5.51794117647059,0,0,0,0,0,0,5.51794117647059
Logged,Tower,14/12/2011,27/11/2011,17,10,0.25,10.19,0.73,0,0.24,0,0,,4.37570588235294,0.313470588235294,0,0.103058823529412,0,0,0.103058823529412,4.79223529411765
Logged,Tower,14/12/2011,27/11/2011,17,11,0.25,10.73,0,0,0,0,0.199999999999999,,4.60758823529412,0,0,0,0,0.085882352941176,0,4.6934705882353
